srl,field_name,name,block,item,length,byte_start,byte_end,remarks
1,file_id,File Identification,,,4,1,4,RVH7
2,sch,Schdule,1,2,3,5,7,104
3,qtr,Quarter,,,2,8,9,Q1 to Q4
4,visit,Visit,,,2,10,11,"V2' for second visit,' V3' for third visit & 'V4' for fourth visit"
5,sec,Sector,1,3,1,12,12,
6,st,State/Ut Code,,1,2,13,14,
7,dc,District Code,1,4,2,15,16,
8,nss_reg,NSS-Region,1,4,3,17,19,
9,strm,Stratum,1,5,2,20,21,
10,sstrm,Sub-Stratum,1,6,2,22,23,
11,ss,Sub-Sample,1,11,1,24,24,
12,sro,Fod Sub-Region,1,12,4,25,28,
13,mfsu,FSU,1,1,5,29,33,
14,seg,Sample Sg/Sb No.,1,13,1,34,34,
15,sss,Second Stage Stratum No.,1,14,1,35,35,
16,ssu,Sample Household Number,1,15,2,36,37,
17,smonth,Month of Survey,1,9,2,38,39,
18,resp_code,Response Code,1,17,1,40,40,
19,svc,Survey Code,1,18,1,41,41,
20,rea_sub,Reason for Substitution of original household,1,19,1,42,42,
21,hh_size,Household Size,3,1,2,43,44,
22,hhtype,Household Type,3,2,1,45,45,
23,relg,Religion,3,3,1,46,46,
24,sg,Social Group,3,4,1,47,47,
25,hce_tot,Household'S Usual Consumer Expenditure In A Month (Rs.),3,5,8,48,55,
26,inf_srl,Informant Serial no.,1,16,2,56,57,
27,sur_date,Survey Date,2,2(i),8,58,65,
28,sur_time,Total Time Taken To Canvass Sch. 10.4,2,4,4,66,69,
29,nss,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,70,72,NSS
30,nsc,Ns count for sector x stratum x substratum,Generated,,3,73,75,NSC
31,mult,Sub-sample wise Multiplier,Generated,,10,76,85,MULT
32,no_qtr,Count of contributing State x Sector x Stratum x SubStratum in 4 Quarters,Generated,,1,86,86,No_Qtr
