quota,meaning,applies_to
AI,All India — national pool,NITs/IIITs/GFTIs national seats; all IIT seats
HS,Home State — domicile of the institute's state,state-located NITs
OS,Other State — non-domicile,state-located NITs
GO,Goa quota,Goa-specific GFTI seats
JK,Jammu & Kashmir quota,J&K-specific seats
LA,Ladakh quota,Ladakh-specific seats
AP,Andhra Pradesh legacy quota (phased out after 2019),NIT Warangal only; pre-bifurcation legacy rows in 2016–2019 data
